drive_id,pi_set,driving_model,wall_date,order,seg_t,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,elig_s,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac
b2,weak,CD210,1764094628.939808,3,135.0,1.4954243759284833,0.6659083612497637,0.08894478833733527,0.18992304801940918,-0.18079780042171478,59.48865725799561,45.0,16.747421264648438,-0.5530820488929749,-0.27028369903564453,1.0000567436218262,-2.888737678527832,2.492677927017212,-0.010653972625732422,0.27746840134796275,0.676
b2,weak,CD210,1764094628.939808,3,180.0,2.5873801722844094,1.0497475541210926,0.12663217442042501,0.19118283689022064,-0.1705225259065628,49.9522566822815,37.76,16.74833106994629,-0.5165718793869019,-0.45244595408439636,1.0000262260437012,-2.8898026943206787,2.4962542057037354,-0.010700346902012825,0.19383492151011955,0.3686440677966102
b2,weak,CD210,1764094628.939808,3,315.0,4.351767576441034,1.272141542592254,0.1724435839634263,0.09830055385828018,-0.06619679182767868,48.93749978942871,31.62,16.762725830078125,-0.38661274313926697,-0.25583961606025696,0.9998658895492554,-2.888864040374756,2.4819533824920654,-0.01066137570887804,0.14249086644565434,0.17773561037318153
bb_tonight_weak,weak,CD210,1764094629.4364252,4,180.0,1.2725517677665341,0.5682202034993242,0.13767462699418753,0.10397667437791824,-0.07602640986442566,57.303232481613165,45.0,17.089603424072266,0.12212882936000824,0.3646731376647949,1.0003341436386108,-2.890028715133667,2.4739701747894287,-0.010789735242724419,0.19569426067382456,0.20622222222222222
bb_tonight_weak,weak,CD210,1764094629.4364252,4,225.0,1.5814188365925785,0.583968675045395,0.11016119627759426,0.043804604560136795,-0.023429589346051216,56.695933957176216,26.5,17.089385986328125,0.14169663190841675,0.19149620831012726,1.0003349781036377,-2.891166925430298,2.478278398513794,-0.010838833637535572,0.13388596230169542,0.0037735849056603774
bb_tonight_weak,weak,CD210,1764094629.4364252,4,360.0,1.1897640004220094,0.5516862911176613,0.09448158166173705,0.15813621878623962,-0.08763709664344788,57.09233323501587,37.78,17.106979370117188,0.20322561264038086,0.23187440633773804,1.0000122785568237,-2.8947057723999023,2.455195903778076,-0.01099188532680273,0.2597060932193718,0.6511381683430386
op_7f,unknown/manual,OPM7,1764094631.2689874,6,270.0,1.9590593205948716,0.9040450862520474,0.2285702574093711,0.13583771884441376,-0.1009284034371376,50.69884342853547,45.0,16.50537109375,-0.3617739677429199,0.0881619080901146,0.9993571639060974,-3.0224478244781494,2.4710123538970947,-0.01653340272605419,,
op_7f,unknown/manual,OPM7,1764094631.2689874,6,315.0,2.1626704668369907,0.8813138432060992,0.12230656009422203,0.15655691921710968,-0.10134708136320114,45.5726690826416,30.06,16.516155242919922,-0.2324242889881134,0.019966326653957367,0.99908846616745,-3.0261332988739014,2.480736017227173,-0.016691869124770164,,
op_7f,unknown/manual,OPM7,1764094631.2689874,6,405.0,1.5105836857302866,0.5881041458790702,0.08849651177890613,0.13293924927711487,-0.04917162284255028,48.3394726399231,29.84,16.530590057373047,-0.08069860935211182,-0.008985377848148346,0.9985460638999939,-3.0308890342712402,2.4894590377807617,-0.01689857430756092,,
op_7f,unknown/manual,OPM7,1764094631.2689874,6,675.0,3.1360882993524677,1.1312565442343538,0.3847311083989748,0.19393965601921082,0.02695806883275509,49.004852723007204,29.82,16.69884490966797,0.028230438008904457,0.1772276759147644,0.9957459568977356,-3.035155773162842,2.4646716117858887,-0.017072785645723343,,
op_7f,unknown/manual,OPM7,1764094631.2689874,6,720.0,1.2596033570779026,0.5794745913690795,0.13203516364290382,0.1350540965795517,-0.1282806098461151,56.945682952709205,45.0,16.698049545288086,0.0489710234105587,0.06066950410604477,0.9957430958747864,-3.045043468475342,2.4645509719848633,-0.01749836839735508,,
