setting,drive_id,config_id,driving_model,controller_set,window_start_s,eligible_s,eligible_frac,speed_median_mps,speed_p25_mps,speed_p75_mps,road_curv_median,road_curv_abs_median,lat_median,lon_median,steer_rms_deg,steer_pp_sine_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,lat_disp_pp_sine_cm,cmd_curv_rms_1pm,desired_curv_rms_1pm,controls_curv_rms_1pm,model_path_y20_rms_m,model_curv_rms_1pm,lane_center_y20_rms_m,lane_good_frac,steer_peak_freq_hz,x_m,y_m,speed_bin,curv_bin,x_cell_500m,y_cell_500m,speed_curve_stratum,gps_speed_curve_stratum
primary,drive_03,C,OPM7,set1,2100.0,30.0,1.0,23.86198718300046,23.20591993636141,24.54070824820505,-0.0004088612645006737,0.0004088612645006737,33.90335725285135,-84.61600664299755,0.760944551087849,2.152276208724685,1.8712575116586498,0.10588024486848074,13.809489483777103,2.002928387144914,2.0029288085850827,1.9410629023013763,0.03262825495168183,1.4192789608032574,0.07199747739105002,0.94,0.234375,-506.84552106668707,368.04814840655325,9,-1,-2,0,9|-1,-2|0|9|-1
primary,drive_03,C,OPM7,set1,2130.0,23.7,0.7899999999999999,22.554762979800053,22.315157533380663,22.6116673056751,-4.076292605244264e-05,0.00018995701203335216,33.90177426290134,-84.6225026772043,0.7195975960408619,2.0353293595441255,1.7043069726880469,0.08629669986991854,16.2076245099242,1.9111111353743695,1.91112470173197,1.823735797646254,0.033571743046577486,11.34325316357189,0.09094815644586995,0.8586497890295358,0.1953125,-1107.0591880147433,193.0644393325528,9,-1,-3,0,9|-1,-3|0|9|-1
primary,drive_03,C,OPM7,set1,2340.0,30.0,1.0,21.754959272765895,21.107291992947744,23.598942929363794,-0.0007214225356738523,0.0007214225356738523,33.897053292393686,-84.64372290322478,0.6172209434256407,1.745764458346516,1.534029989120579,0.07255966482717494,9.463634407173064,1.6287892220255058,1.6287892222001457,1.639291937842618,0.02733728097653904,1.14648873778254,0.06473497415869144,0.91,0.234375,-3067.743086506795,-328.7916405836761,8,-2,-7,-1,8|-2,-7|-1|8|-2
primary,drive_03,C,OPM7,set1,2370.0,30.0,1.0,22.626227742996672,22.438447722405517,23.135407386720917,-0.001130597955516966,0.001130597955516966,33.897091969122755,-84.6512437177134,0.6290222144733536,1.779143493484349,1.5807688139758729,0.08194482903744552,10.687699638852882,1.5336598889840398,1.533659876285025,1.6211962757626839,0.027525622055300014,1.0556564739070318,0.06303226960856807,0.99,0.234375,-3762.643313164836,-324.5163149523657,9,-3,-8,-1,9|-3,-8|-1|9|-3
primary,drive_03,C,OPM7,set1,2400.0,30.0,1.0,23.213957522276456,22.940110209557385,23.58711841957874,-0.00036303864557085035,0.00036303864557085035,33.89961273610141,-84.65820218333275,0.6926921432943297,1.959229247192257,1.7407774117020287,0.09460090112596795,12.338374839212223,1.6596867055811257,1.659685074343793,1.7965377526144812,0.02773671669345674,2.14454024476439,0.06685364946232233,0.8216666666666667,0.234375,-4405.584226465842,-45.870733131805395,9,-1,-9,-1,9|-1,-9|-1|9|-1
primary,drive_04,A,CD210,set1,120.0,22.3,0.7433333333333334,25.21944100448486,25.04229637862685,26.285826239447346,-0.00040316665867662187,0.00040316665867662187,33.89944384922272,-84.6581749212568,0.8353909055061834,2.362842296899971,1.8739747959506932,0.12096586937722664,22.718938178840446,1.7010873163872753,1.7011151338223378,2.035311909144624,0.03363650058868933,1.6546887675697526,0.10049736930751083,0.6390134529147982,0.1953125,-4403.065294137069,-64.53948870219676,10,-1,-9,-1,10|-1,-9|-1|10|-1
primary,drive_04,A,CD210,set1,150.0,30.0,1.0,26.46398106512236,26.315944925626777,26.54069698898755,0.00037249763132448993,0.00037249763132448993,33.89671534923918,-84.64898086060248,0.5554945217795577,1.5711757730492144,1.3154622587248046,0.09236606407163259,12.046894980640543,1.1129214762226527,1.1127977501575603,1.336293764461255,0.02307486632672414,1.109683087833343,0.07768501367376088,0.885,0.234375,-3553.562245993969,-366.1478768827293,10,0,-8,-1,10|0,-8|-1|10|0
primary,drive_04,A,CD210,set1,180.0,28.7,0.9566666666666667,26.336723634635025,26.200839950713576,26.573145354292073,-0.00032049770766223,0.00032049770766223,33.89753675024684,-84.64054490412637,0.6911565091451806,1.954885817911117,1.6917384114753824,0.10558823623968132,13.771404096898873,1.4544419289809063,1.4544062229458508,1.6855981055176477,0.027368686996953138,1.2878301377281054,0.08552207901271416,1.0,0.234375,-2774.1057022648783,-275.3502094956818,10,-1,-6,-1,10|-1,-6|-1|10|-1
primary,drive_04,A,CD210,set1,210.0,21.6,0.7200000000000001,21.89514230941618,20.99265439886286,22.70521131052825,-0.00037343900392061864,0.00037343900392061864,33.89878355376989,-84.63366804902108,1.1051515261993818,3.1258405536569818,2.7176619383388716,0.1263745292881965,16.482467861595836,2.4218394649935626,2.4219604798955623,2.9594181628607235,0.04456867825808399,2.1048628134053566,0.10926241531261399,0.8842592592592593,0.234375,-2138.705350535079,-137.52854805823063,8,-1,-5,-1,8|-1,-5|-1|8|-1
primary,drive_04,A,CD210,set1,270.0,28.85,0.9616666666666667,21.063077212668755,20.781661163370515,21.381724257622995,-0.0007520894198688334,0.0007520894198688334,33.9021844897992,-84.62108420643676,1.1428943452769709,3.2325933669004225,2.9000567152669885,0.1279647672682887,16.689875529476318,2.443590474510043,2.4437500798222676,3.057464323252855,0.04810531569391644,2.190958585359468,0.12379227366817416,0.9410745233968805,0.234375,-975.9968330851776,238.4109206215149,8,-2,-2,0,8|-2,-2|0|8|-2
primary,drive_04,A,CD210,set1,300.0,23.0,0.7666666666666667,22.221799441933516,21.54565176669152,22.440419181786915,-0.00033736323589551474,0.00033736323589551474,33.90376293049979,-84.61321083578167,0.8857274179980702,2.5052154541971485,2.2998249273660467,0.11020541293512902,32.340604321090396,1.9738188732259114,1.9738495433819416,2.3170738274932408,0.03941881398403309,1.9333298293368497,0.11522505521320184,0.9521739130434783,0.15625,-248.52149632906648,412.8917556648428,8,-1,-1,0,8|-1,-1|0|8|-1
