setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
primary,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,3,3,3,-0.013576215653057194,-0.017542659343047717,-0.018123859448474736,-0.005643328273076148,1.0
primary,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,3,3,3,-0.31526343851776084,-0.33024119965071785,-0.336493067710902,-0.2853079162518468,1.0
primary,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,3,3,3,-0.31533718349770573,-0.33033969410032415,-0.3365036618334923,-0.2853321622924688,1.0
strict_curve,speed_curve_matched,steer_rms_deg,B-minus-A,3,14,8,0.2848761171667352,0.08299128177077386,0.08299128177077386,1.1070091638651223,0.0
strict_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,3,14,8,0.7789769642800853,0.24281345541185906,0.24281345541185906,3.2441564074495695,0.0
strict_curve,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,3,14,8,0.0578160538836906,0.028794479944970856,0.023350888304342537,0.1865931486554044,0.0
strict_curve,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,3,14,8,1.076539104901451,0.5921068985740489,0.5370629058650503,3.3335681584114663,0.0
strict_curve,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,3,14,8,1.076579350933258,0.5921210039609189,0.537137624808328,3.333920948337181,0.0
strict_curve,gps_speed_curve_matched,steer_rms_deg,B-minus-A,2,3,2,0.039318554042733656,-0.11432522175879112,-0.11432522175879112,0.19296232984425843,0.5
strict_curve,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,2,3,2,0.09927140877495377,-0.02645548794963415,-0.02645548794963415,0.2249983054995417,0.5
strict_curve,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,2,3,2,0.024234947975224012,0.020164203328939673,0.020164203328939673,0.028305692621508352,0.0
strict_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,2,3,2,0.10722391844729773,-0.1312767660842984,-0.1312767660842984,0.34572460297889385,0.5
strict_curve,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,2,3,2,0.10721919165673344,-0.13124645619973396,-0.13124645619973396,0.34568483951320084,0.5
strict_curve,speed_curve_matched,steer_rms_deg,C-minus-A,6,31,16,-0.16203675036394005,-0.0997745174274318,-0.3403997978387231,0.0045218808341058675,0.6666666666666666
strict_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,6,31,16,-0.5776218046539562,-0.9927001828124443,-0.9709986902077192,-0.12369624387445931,0.8333333333333334
strict_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,6,31,16,-0.03221866375717912,-0.045696188489133586,-0.053269798079651584,-0.007940972442789131,0.8333333333333334
