setting,subset,metric,comparison,stratum,a_n_windows,b_n_windows,weight,a_median,b_median,diff
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-B,11|-1,3,4,3.0,0.6169859296524867,0.46739422532719666,-0.14959170432529
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-B,11|-2,1,1,1.0,0.5752798319768173,0.5854769588208085,0.010197126843991211
loose_curve,speed_curve_matched,steer_rms_deg,C-minus-B,11|0,2,2,2.0,0.513849626163777,0.41461111298657743,-0.09923851317719962
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,10|-1,3,1,1.0,1.9523670167995586,1.5611512820800684,-0.3912157347194902
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,11|-1,3,4,3.0,1.2213005120051372,0.9428248270347939,-0.27847568497034336
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,11|-2,1,1,1.0,1.2762214739022173,1.2685574304961869,-0.007664043406030441
loose_curve,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,11|0,2,2,2.0,1.0782899928412217,0.8911235078309718,-0.1871664850102499
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,10|-1,3,1,1.0,0.14623858765988937,0.09359731947684712,-0.05264126818304225
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,11|-1,3,4,3.0,0.08851258611980513,0.07442634416182697,-0.014086241957978154
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,11|-2,1,1,1.0,0.09960847584203744,0.10105189492703251,0.0014434190849950679
loose_curve,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,11|0,2,2,2.0,0.08284393076879704,0.0709603369080216,-0.011883593860775435
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,10|-1,3,1,1.0,1.8001665319598001,1.34489435464663,-0.45527217731317005
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,11|-1,3,4,3.0,1.1400887712341419,0.9004632758047912,-0.23962549542935063
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,11|-2,1,1,1.0,1.109094970498639,1.255571505665018,0.14647653516637904
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,11|0,2,2,2.0,1.198887598637018,0.8686463989863001,-0.33024119965071785
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,10|-1,3,1,1.0,1.8000910624590516,1.3448987794527187,-0.45519228300633285
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,11|-1,3,4,3.0,1.1401144417130875,0.9004682430691673,-0.23964619864392023
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,11|-2,1,1,1.0,1.1090599255487132,1.255592245906648,0.14653232035793473
loose_curve,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,11|0,2,2,2.0,1.198904987646425,0.8685652935461009,-0.33033969410032415
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-5|-1|11|-1,1,1,1.0,0.5682120248265338,0.4454483404508042,-0.12276368437572954
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-7|-1|11|0,1,1,1.0,0.5068971674411765,0.39753082872464884,-0.10936633871652768
loose_curve,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-8|-1|11|0,1,1,1.0,0.5208020848863776,0.431691397248506,-0.08911068763787156
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.147361774344838,0.8754717914770443,-0.27188998286779376
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.125662748968462,0.8542909310614474,-0.2713718179070147
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.0309172367139814,0.9279560846004963,-0.10296115211348511
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-5|-1|11|-1,1,1,1.0,0.08645336578315796,0.06949190654553726,-0.0169614592376207
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-7|-1|11|0,1,1,1.0,0.08634648096344713,0.0682226215149724,-0.018123859448474736
loose_curve,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-8|-1|11|0,1,1,1.0,0.07934138057414696,0.07369805230107081,-0.005643328273076148
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.1400887712341419,0.8547808549822951,-0.2853079162518468
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.1312028300133612,0.7947097623024592,-0.33649306771090204
loose_curve,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.2665723672606748,0.9425830356701411,-0.32398933159053367
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.1401144417130875,0.8547822794206187,-0.2853321622924688
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.131206979654075,0.7947033178205826,-0.33650366183349234
loose_curve,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.2666029956387752,0.9424272692716192,-0.32417572636715597
